,precipitation,t -1,t -2,t -3,t -4,t -5,t -6,t -7,t -8,t -9,t -10,t -11,t -12,t -13,t -14,t -15,t -16,t -17,t -18,t -19,t -20,t -21,t -22,t -23
0,108.1699,,,,,,,,,,,,,,,,,,,,,,,
1,52.6629,,,,,,,,,,,,,,,,,,,,,,,
2,150.4337,,,,,,,,,,,,,,,,,,,,,,,
3,222.6304,,,,,,,,,,,,,,,,,,,,,,,
4,72.5689,,,,,,,,,,,,,,,,,,,,,,,
5,38.3427,,,,,,,,,,,,,,,,,,,,,,,
6,3.8564,,,,,,,,,,,,,,,,,,,,,,,
7,5.1663,,,,,,,,,,,,,,,,,,,,,,,
8,16.2825,,,,,,,,,,,,,,,,,,,,,,,
9,27.0548,,,,,,,,,,,,,,,,,,,,,,,
10,63.5028,,,,,,,,,,,,,,,,,,,,,,,
11,141.8453,,,,,,,,,,,,,,,,,,,,,,,
12,40.4654,,,,,,,,,,,,,,,,,,,,,,,
13,99.7112,,,,,,,,,,,,,,,,,,,,,,,
14,209.4276,,,,,,,,,,,,,,,,,,,,,,,
15,8.9746,,,,,,,,,,,,,,,,,,,,,,,
16,57.5473,,,,,,,,,,,,,,,,,,,,,,,
17,3.2733,,,,,,,,,,,,,,,,,,,,,,,
18,0.8287,,,,,,,,,,,,,,,,,,,,,,,
19,5.0049,,,,,,,,,,,,,,,,,,,,,,,
20,3.7388,,,,,,,,,,,,,,,,,,,,,,,
21,6.1449,,,,,,,,,,,,,,,,,,,,,,,
22,63.985,,,,,,,,,,,,,,,,,,,,,,,
23,54.7504,,,,,,,,,,,,,,,,,,,,,,,
24,234.9162,,,,,,,,,,,,,,,,,,,,,,,
25,125.7046,-1.38,,,,,,,,,,,,,,,,,,,,,,
26,116.1445,-1.53,-1.38,,,,,,,,,,,,,,,,,,,,,
27,58.7856,-1.8,-1.53,-1.38,,,,,,,,,,,,,,,,,,,,
28,36.2573,-1.73,-1.8,-1.53,-1.38,,,,,,,,,,,,,,,,,,,
29,17.4126,-1.18,-1.73,-1.8,-1.53,-1.38,,,,,,,,,,,,,,,,,,
30,0.5856,-0.84,-1.18,-1.73,-1.8,-1.53,-1.38,,,,,,,,,,,,,,,,,
31,2.4364,-1.26,-0.84,-1.18,-1.73,-1.8,-1.53,-1.38,,,,,,,,,,,,,,,,
32,17.6535,-1.25,-1.26,-0.84,-1.18,-1.73,-1.8,-1.53,-1.38,,,,,,,,,,,,,,,
33,153.6081,-1.49,-1.25,-1.26,-0.84,-1.18,-1.73,-1.8,-1.53,-1.38,,,,,,,,,,,,,,
34,196.1526,-1.63,-1.49,-1.25,-1.26,-0.84,-1.18,-1.73,-1.8,-1.53,-1.38,,,,,,,,,,,,,
35,201.9834,-1.7,-1.63,-1.49,-1.25,-1.26,-0.84,-1.18,-1.73,-1.8,-1.53,-1.38,,,,,,,,,,,,
36,170.0752,-1.4,-1.7,-1.63,-1.49,-1.25,-1.26,-0.84,-1.18,-1.73,-1.8,-1.53,-1.38,,,,,,,,,,,
37,111.5515,-1.1,-1.4,-1.7,-1.63,-1.49,-1.25,-1.26,-0.84,-1.18,-1.73,-1.8,-1.53,-1.38,,,,,,,,,,
38,49.3925,-1.11,-1.1,-1.4,-1.7,-1.63,-1.49,-1.25,-1.26,-0.84,-1.18,-1.73,-1.8,-1.53,-1.38,,,,,,,,,
39,49.3122,-0.58,-1.11,-1.1,-1.4,-1.7,-1.63,-1.49,-1.25,-1.26,-0.84,-1.18,-1.73,-1.8,-1.53,-1.38,,,,,,,,
40,56.8626,-0.42,-0.58,-1.11,-1.1,-1.4,-1.7,-1.63,-1.49,-1.25,-1.26,-0.84,-1.18,-1.73,-1.8,-1.53,-1.38,,,,,,,
41,1.7826,0.26,-0.42,-0.58,-1.11,-1.1,-1.4,-1.7,-1.63,-1.49,-1.25,-1.26,-0.84,-1.18,-1.73,-1.8,-1.53,-1.38,,,,,,
42,0.0207,0.08,0.26,-0.42,-0.58,-1.11,-1.1,-1.4,-1.7,-1.63,-1.49,-1.25,-1.26,-0.84,-1.18,-1.73,-1.8,-1.53,-1.38,,,,,
43,5.0254,0.23,0.08,0.26,-0.42,-0.58,-1.11,-1.1,-1.4,-1.7,-1.63,-1.49,-1.25,-1.26,-0.84,-1.18,-1.73,-1.8,-1.53,-1.38,,,,
